,Match_No,Date,year,month,Month_name,day,DayOfWeek,Week_Type,Match,Team_1,Team_2,Location,Result,Winning_Team,Winning_mode,Winning_Margin,Team_Batting_First
23,24,2019-10-04,2019,10,October,Friday,4,Weekday,24th Match: Mumbai Indians v Kings XI Punjab, Mumbai Indians , Kings XI Punjab,Mumbai,Mumbai Indians won by 3 Wickets,Mumbai Indians ,Wickets,3, Kings XI Punjab
24,25,2019-11-04,2019,11,November,Monday,0,Weekday,25th Match: Rajasthan Royals v Chennai Super Kings, Rajasthan Royals , Chennai Super Kings,Jaipur,Chennai Super Kings won by 4 Wickets,Chennai Super Kings ,Wickets,4, Chennai Super Kings
25,26,2019-12-04,2019,12,December,Wednesday,2,Weekday,26th Match: Kolkata Knight Riders v Delhi Capitals, Kolkata Knight Riders , Delhi Capitals,Kolkata,Delhi Capitals won by 7 Wickets,Delhi Capitals ,Wickets,7, Delhi Capitals
26,27,2019-04-13,2019,4,April,Saturday,5,Weekend,27th Match: Mumbai Indians v Rajasthan Royals, Mumbai Indians , Rajasthan Royals,Mumbai,Rajasthan Royals won by 4 Wickets,Rajasthan Royals ,Wickets,4, Rajasthan Royals
27,28,2019-04-13,2019,4,April,Saturday,5,Weekend,28th Match: Kings XI Punjab v Royal Challengers Bangalore, Kings XI Punjab , Royal Challengers Bangalore,"Mohali, Chandigarh",Royal Challengers Bangalore won by 8 Wickets,Royal Challengers Bangalore ,Wickets,8, Royal Challengers Bangalore
28,29,2019-04-14,2019,4,April,Sunday,6,Weekend,29th Match: Kolkata Knight Riders v Chennai Super Kings, Kolkata Knight Riders , Chennai Super Kings,Kolkata,Chennai Super Kings won by 5 Wickets,Chennai Super Kings ,Wickets,5, Chennai Super Kings
29,30,2019-04-14,2019,4,April,Sunday,6,Weekend,30th Match: Sunrisers Hyderabad v Delhi Capitals, Sunrisers Hyderabad , Delhi Capitals,Hyderabad,Delhi Capitals won by 39 Runs,Delhi Capitals ,Runs,39, Delhi Capitals
30,31,2019-04-15,2019,4,April,Monday,0,Weekday,31st Match: Mumbai Indians v Royal Challengers Bangalore, Mumbai Indians , Royal Challengers Bangalore,Mumbai,Mumbai Indians won by 5 Wickets,Mumbai Indians ,Wickets,5, Royal Challengers Bangalore
31,32,2019-04-16,2019,4,April,Tuesday,1,Weekday,32nd Match: Kings XI Punjab v Rajasthan Royals, Kings XI Punjab , Rajasthan Royals,"Mohali, Chandigarh",Kings XI Punjab won by 12 Runs,Kings XI Punjab ,Runs,12, Rajasthan Royals
32,33,2019-04-17,2019,4,April,Wednesday,2,Weekday,33rd Match: Sunrisers Hyderabad v Chennai Super Kings, Sunrisers Hyderabad , Chennai Super Kings,Hyderabad,Sunrisers Hyderabad won by 6 Wickets,Sunrisers Hyderabad ,Wickets,6, Chennai Super Kings
33,34,2019-04-18,2019,4,April,Thursday,3,Weekday,34th Match: Delhi Capitals v Mumbai Indians, Delhi Capitals , Mumbai Indians,Delhi,Mumbai Indians won by 40 Runs,Mumbai Indians ,Runs,40, Mumbai Indians
